BankState,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
MA,0.07002679411977696,80953.81646092639,99.49866029401115,236093.24827501163,29.0904441838613,22410.02132558774,79517.19756799702,13.374683177637772,1.9390252733724382,4.280614092258672,21933.397059888477,3783.380693750453,226685.42126247872,183728.68419516148,9405.950756752842,8686.342312984285,339854.8572669998,71524.14374683177
MD,0.0824757004002287,121852.70482239194,95.1114922813036,283909.99754688045,23.566051256035358,26804.87450360441,80932.49980740991,15.98642081189251,1.9448256146369354,3.292166952544311,29980.953687821613,3150.539736992567,275937.6865717662,221384.9801632095,12582.457690108633,11564.16166380789,318239.1373642081,78630.82818753574
ME,0.07448840381991814,103559.56484182869,113.45511596180081,238329.71215759686,26.545100562407075,22987.981827573443,55848.6796913552,10.657571623465211,1.3241473396998635,3.192905866302865,12386.441473396999,666.006275579809,232566.25465435864,184784.4243269095,6107.213915416099,5289.02210095498,197829.63192360164,49551.909959072305
MI,0.08794655031360786,132862.09874017385,128.55835833106082,375258.7807315119,23.12552481258612,35623.31782913588,95754.8966459189,13.905644941368967,2.5503136078538313,4.8348786473956915,23043.61126261249,1363.4897736569403,366468.51057553804,295886.47194823256,10219.545404963184,9109.674120534497,137641.955276793,51213.88764657758
MN,0.07770117256303155,120731.7511512385,116.70102158925067,318067.09317004326,20.83483961377444,31925.420811514923,102759.6343581677,13.067988525992652,2.3962055256403803,6.111619948668914,19547.49911931961,1666.3247446026874,306721.2273827033,251770.00728034513,8393.419153540335,7743.957173770822,193279.13049167127,60165.11564591616
MO,0.12697230310828198,131243.51953623738,114.56585630121216,286944.1524003338,21.089359362116728,28246.978192033654,72331.15179812773,12.951310354168077,2.2972167671158665,3.467935261055055,23868.871402451412,1711.8200040631136,281543.62550907984,232974.24024279916,10521.433534231734,9456.004198550823,170913.66255840726,51465.4380036568
MS,0.10375761679079215,103880.23661855124,102.20209884901828,260058.74251384192,21.958183909679043,43796.14306103438,76344.3737661161,8.269465132024374,1.1941435341909274,2.2308733920108326,19753.835815842926,601.6115436696006,259357.23542188032,206655.2384784616,8500.754400812457,7533.743737305349,115696.86882193635,42704.042146242384
MT,0.057088122605363986,91538.20548764385,109.30536398467433,252870.51647412078,21.814854242586986,25018.777788047446,84404.72958464648,9.764750957854407,0.8086845466155811,2.04176245210728,21217.3220945083,562.0401021711367,244763.71213531803,191980.34729985968,9825.06743295019,9005.216602809705,197745.69591315454,47013.57381864623
NC,0.30520242889424715,47527.572590721065,79.53450822466009,142656.12286058514,43.024087594406964,19890.289359699065,58681.28021846592,7.453170565437492,1.230037998813326,4.4508477143903145,32231.10474290836,4804.445015338391,128286.43773211564,90658.85123787221,13444.562672793607,12134.64162448083,281298.2322977289,59925.740913738904
ND,0.07775377969762419,98493.95951538176,102.71509915570391,265543.7748754697,21.76178622126211,26664.179248262244,89321.29913357524,13.803455723542116,1.31003337914785,2.868054192028274,18762.439033968192,671.3273119968584,253659.74740817887,204793.65555714816,8703.834086000392,8157.952876497153,134330.43392892205,53263.68721774985
NE,0.10344179048335528,95666.5667961515,98.84540154222306,235361.25051590113,20.991667080529187,25606.115472928876,69634.3869698679,9.758698514199736,1.466992665036675,2.7329321045702466,17087.65845401542,1447.8049652059433,231914.34661445045,187646.76630049688,7371.882264434832,6847.453451194283,136218.4878690991,53302.45194658642
NH,0.055891461436366315,83627.5376198551,125.54918153664651,249880.86336665347,23.977460691084634,22065.67168788073,68772.06313438444,14.514083468514968,2.281816841173868,5.5559651968736175,14042.588556260138,849.5699749299513,241627.5625991749,207515.99445459608,6346.686771862557,5684.399498599027,249455.30157793837,64766.09010470432
NJ,0.09302077783697389,136796.91326689982,140.4632924880128,365297.3733497063,26.030497561879645,47359.658317683665,104516.68729949059,9.005221097496005,2.449653702717102,4.122855620671284,27888.464358018115,8156.4785295684605,360651.53495829285,275045.16920617694,11261.057112413426,10356.519872136389,371849.9631326585,78952.57346830048
NM,0.0829555757026292,111664.83978751117,117.50634632819583,300665.96324561106,20.53169954409662,27910.745470452606,78895.59963561787,10.814596554850407,1.7234814143245694,2.862420670897552,27801.4106980961,1247.9612420670896,296202.735462881,240763.50297723032,12081.400045330916,11008.503173164097,171059.22484134178,46264.1008612874
NV,0.09118399627820423,171902.19053153845,153.7276110723424,425764.1498245922,19.87006595070494,47275.62485457817,118114.38606372746,14.998371714352174,5.2654105605954875,6.7166782972784365,34853.13328681089,4078.785531518958,425153.4339094684,356582.30419077375,15074.806001395673,13108.886485229123,197210.0983949756,52594.367294719705
NY,0.17362257728554373,107657.77168845692,96.59900424213174,249268.000777425,30.404092577551896,28844.546599237703,80845.38810992862,10.875428658521097,2.0010668834302843,4.631747402646887,29164.1056214596,10241.791094063556,237263.16462208514,184097.24617695072,12270.71836817639,11248.782686006045,291576.6692661366,62094.490436152104
OH,0.16208644839735328,75932.01931302411,107.60362636418321,249710.177744967,33.510523332366006,28530.90626575978,86860.24118404136,11.192214488270173,1.7918879436280828,4.923433874709977,27512.03428718742,2522.9704219300506,233335.79683998943,176028.64875657318,11836.857042193005,10823.161948955916,206544.98248689526,56494.93317865429
OK,0.11541621029572836,132845.9570154237,107.23617196056955,298911.2564826468,21.195873730860153,31156.243854658725,83347.63622217637,13.259583789704271,1.6292442497261774,2.728094194961665,20822.447289156626,1231.1961938663746,296059.2272100233,236740.02945946113,9132.406352683462,8243.274370208104,120888.15744797372,47059.37677984666
OR,0.1821156907836547,75915.20965365376,126.49009375552804,296348.41735385556,21.23459313494181,32669.864565541935,89026.77990526104,10.678843092163453,1.8820980010613833,3.4529453387581817,30225.312577392535,2603.087741022466,294991.68693799095,231208.632292968,12974.506014505572,11775.803909428621,257330.66071112684,53257.21510702282
