BankState,Default,ChgOffPrinGr,Term,DisbursementGross,GrSBA_AppvDiff%,DisbursePerEmployee,USDPerJobCreated,NoEmp,CreateJob,RetainedJob,Population,PopDensity,GrAppv,SBA_Appv,HousingUnits,OccupiedHousingUnits,MedianHomeValue,MedianHouseholdIncome
NC,24176.0,1146840326.6140993,6300167.0,11300219460.15553,3408067.050615759,1575569491.0498421,1264640269.9881592,590388.0,97435.0,352565.0,2553122500.0,380574503.0,10161953592.074076,7181359583.105572,1064984143.0,961221367.0,22282476875.0,4746897715.0
ND,396.0,38412644.210998885,523128.0,1352414445.440767,110832.77722488793,135800664.9113996,86016411.06563295,70301.0,6672.0,14607.0,95557102.0,3419070.0,1291889093.549855,1043014087.7525556,44328627.0,41548454.0,684144900.0,271271959.0
NE,550.0,52712278.304679476,525561.0,1251415768.9930463,111612.69386717369,136147715.96956283,79661738.69352889,51887.0,7800.0,14531.0,90855080.0,7697979.0,1233088580.949033,997717856.4197419,39196298.0,36407910.0,724273700.0,283409137.0
NH,379.0,31109443.994586095,851349.0,1694442134.4892771,162591.1609462449,149627319.71551925,136306229.13234997,98420.0,15473.0,37675.0,95222793.0,5760934.0,1638476501.9850051,1407165958.396616,43036883.0,38545913.0,1691556400.0,439178857.0
NJ,873.0,119697299.10853733,1318248.0,3428315848.8869934,244296.2196182405,444470393.3114612,357342553.8769583,84514.0,22990.0,38693.0,261733238.0,76548551.0,3384714655.5835786,2581298912.9999704,105685021.0,97195939.0,3489811904.0,740969902.0
NM,366.0,40422672.00307904,518438.0,1326538229.839636,90585.85838855429,123142209.0156369,70532666.07424237,47714.0,7604.0,12629.0,122659824.0,5506005.0,1306846468.862231,1062248575.1355401,53303137.0,48569516.0,754713300.0,204117213.0
NV,392.0,67213756.49783154,660875.0,1830360080.095922,85421.41352208055,203237911.24983156,259142963.02381805,64478.0,22636.0,28875.0,149833620.0,17534699.0,1827734612.3768046,1532947325.7161365,64806591.0,56355103.0,847806213.0,226103185.0
NY,6835.0,734226002.9152762,3802813.0,9812933386.60489,1196917.9125004855,1135523265.9721906,920667279.7958672,428133.0,78776.0,182338.0,1148103346.0,403188590.0,9340339001.677626,7247356290.248019,483061370.0,442830828.0,11478498739.0,2444473805.0
OH,9431.0,714368437.6969308,6260917.0,14529386692.090904,1949809.800093716,1660070781.0732327,1456298803.6916373,651219.0,104261.0,286470.0,1600787715.0,146799034.0,13576643339.134785,10242226927.90121,688727527.0,629745678.0,12017819806.0,3287157687.0
OK,843.0,111723449.84997131,783253.0,2183247817.349252,154814.66173020256,227565205.11442733,110102227.44949499,96848.0,11900.0,19926.0,152087155.0,8992657.0,2162416595.5420103,1729149175.171904,66703096.0,60208876.0,882967102.0,343721688.0
OR,2059.0,156233501.46721944,1430097.0,3350515206.602691,240078.3099836521,369365488.7780171,300732462.5199718,120735.0,21279.0,39039.0,341727384.0,29430510.0,3335176012.5209255,2614044796.704296,146689765.0,133137239.0,2909380450.0,602126074.0
PA,1376.0,143996066.74418828,1579661.0,4188835815.0863485,489134.78483481484,506092993.9798646,332754863.79243946,240073.0,27478.0,60186.0,384198473.0,52816522.0,4058623427.405686,3142151422.5447087,165917275.0,152863407.0,3494271621.0,1025294303.0
